RowNumber,ShopID,ShopName,ShopCity,ShopAddress,ShopRating
170,SH00170,Jabberstorm,Rawa Satu,4 Surrey Avenue,4.22
171,SH00171,Ozu,Kasungu,5 Darwin Alley,3.82
172,SH00172,Tagpad,Nangkasari,0 Caliangt Hill,3.92
173,SH00173,Bluejam,Kopang Satu,36 Kensington Trail,3.02
174,SH00174,Ntag,Brikama,4 Gale Drive,4.32
175,SH00175,Dynava,Yuanguping,884 Center Circle,3.42
176,SH00176,Demizz,Horta,95813 Algoma Circle,4.02
177,SH00177,Zoomdog,Rudnogorsk,10 Duke Lane,4.12
178,SH00178,Lazzy,Menzel Jemil,962 Shelley Circle,3.52
179,SH00179,Flashset,Revda,965 Forster Pass,4.62
180,SH00180,Abata,Kuressaare,7830 Heffernan Terrace,4.92
181,SH00181,Yacero,Baltimore,98 Dexter Parkway,4.92
182,SH00182,Jaxbean,Samho-rodongjagu,3 Oak Valley Terrace,4.62
183,SH00183,Katz,Boñgalon,473 Anniversary Drive,4.32
184,SH00184,Buzzster,Janeng,049 Ludington Junction,3.82
185,SH00185,Layo,Kranjska Gora,66 Mesta Trail,4.02
186,SH00186,Flashspan,San Lorenzo,14 Veith Way,4.12
187,SH00187,Zoomzone,Qianhong,0 Basil Way,3.62
188,SH00188,Livefish,Cikalang,32431 Cody Pass,4.82
189,SH00189,Wordify,Postmasburg,18528 Clove Alley,4.72
190,SH00190,Dynabox,‘Aşīrah al Qiblīyah,22 Independence Park,4.52
191,SH00191,Skajo,Guará,59 Sullivan Avenue,3.22
192,SH00192,Dablist,Xinxing,682 Service Crossing,3.12
193,SH00193,Dynazzy,Diamantina,59 Holy Cross Terrace,3.32
194,SH00194,Gigaclub,Stará Paka,4 Pleasure Place,4.12
195,SH00195,Thoughtblab,Ilām,976 Melby Park,3.42
196,SH00196,Topiczoom,Gwoźnica Górna,32596 Fuller Road,3.92
197,SH00197,Realfire,Pulong Sampalok,02 Towne Pass,4.92
198,SH00198,Thoughtbridge,Paracuru,5 Calypso Park,3.02
199,SH00199,Jabbertype,Västerås,115 Killdeer Lane,3.22
200,SH00200,Zoozzy,Staryy Urukh,94 Vernon Plaza,4.02
201,SH00201,Devpulse,Zákupy,97732 Mayfield Circle,4.22
202,SH00202,Jabbersphere,Białaczów,871 Prairieview Avenue,4.02
203,SH00203,Ailane,Biała,0 Anniversary Point,4.12
204,SH00204,Ntag,Qila Abdullāh,971 Talisman Lane,3.02
205,SH00205,Tagcat,Digne-les-Bains,380 Arapahoe Drive,3.92
206,SH00206,Voonte,Katagum,34 Anzinger Junction,3.92
207,SH00207,Miboo,Rochester,1 Northport Place,4.22
208,SH00208,Feedfish,Kuching,9776 7th Road,4.92
209,SH00209,Twitterlist,Obo,877 Mariners Cove Court,4.62
210,SH00210,Skyvu,Ogawa,84352 Fairview Court,3.32
211,SH00211,Dynazzy,San Pedro Jocopilas,85 Roxbury Street,3.62
212,SH00212,Twitterbridge,Guachucal,792 Sunfield Terrace,3.92
213,SH00213,Talane,Norak,7 Golden Leaf Alley,4.62
214,SH00214,Skimia,Khromtau,206 Texas Road,4.62
215,SH00215,Youspan,Yacheng,9077 Orin Way,4.72
216,SH00216,Kamba,Fenhe,1 Gerald Way,3.22
217,SH00217,Jayo,Dardhas,5 Mallory Plaza,3.62
218,SH00218,Youopia,Hương Sơn,483 Westerfield Parkway,3.22
219,SH00219,JumpXS,Kansas City,54382 Troy Road,3.92
220,SH00220,Jetpulse,Jinli,3276 Bartillon Avenue,4.12
221,SH00221,Skipfire,Oele,8104 Continental Avenue,3.52
222,SH00222,Brainsphere,Yingyang,9 Maryland Center,4.72
223,SH00223,Plajo,Kombolcha,3 Elmside Street,4.12
224,SH00224,Skalith,Wadi,52 Cody Parkway,3.92
225,SH00225,Bubblemix,Mentaras,389 Stang Terrace,3.62
226,SH00226,Eabox,San Isidro,972 Roxbury Plaza,4.02
227,SH00227,Skimia,Quintã,64 Utah Avenue,3.82
228,SH00228,Thoughtsphere,Lijiang,928 Little Fleur Hill,3.52
229,SH00229,Twinte,Minchinābād,6994 Dwight Center,3.52
230,SH00230,Realblab,El Hatillo,92526 Eastlawn Junction,4.52
231,SH00231,Yabox,Dashuipo,5279 Clemons Drive,3.22
232,SH00232,Fivebridge,Nyima,4 Tennyson Road,3.42
233,SH00233,Yodel,Wangping,55 Meadow Valley Plaza,4.62
234,SH00234,Meezzy,Malpique,62801 Petterle Circle,4.82
235,SH00235,Twitterlist,Jadów,94762 Dawn Alley,3.32
236,SH00236,Rhycero,Laurel,99942 Nova Hill,3.72
237,SH00237,Browsedrive,Plei Kần,448 Lotheville Drive,3.42
238,SH00238,Yakidoo,Kashihara,591 Schmedeman Road,4.52
239,SH00239,BlogXS,Concepción del Bermejo,9518 Crowley Crossing,4.02
240,SH00240,Bluejam,Shāzand,20 Jackson Street,3.22
241,SH00241,Photofeed,Áyios Nikólaos,79104 Superior Terrace,4.82
242,SH00242,Meevee,Pinhal General,3439 Towne Crossing,3.02
243,SH00243,Tagchat,Kardítsa,50 Glacier Hill Parkway,4.52
244,SH00244,Blognation,Baitu,2 Mcguire Crossing,4.32
245,SH00245,Bubblebox,Shuangjie,452 Tennessee Drive,4.02
246,SH00246,Edgeify,Puyang,2 Mcbride Parkway,4.82
247,SH00247,Aibox,North Saanich,9 Forster Circle,4.32
248,SH00248,DabZ,Jiagao,01019 Meadow Vale Alley,4.22
249,SH00249,Minyx,Japerejo,4948 Hoard Park,4.62
250,SH00250,Youbridge,Kokkinóchoma,2667 Crownhardt Terrace,3.82
251,SH00251,Edgetag,Dalumangcob,01465 Lunder Avenue,3.62
252,SH00252,Minyx,Manzini,967 Lotheville Way,3.82
253,SH00253,Bubbletube,Três Passos,44537 Shasta Junction,4.62
254,SH00254,Jabbercube,Kovylkino,12383 Leroy Street,3.82
255,SH00255,Tazzy,Sosnovyy Bor,72158 Crowley Point,3.62
256,SH00256,Skalith,Subulussalam,06 Farragut Lane,3.72
257,SH00257,Lajo,El Sauce,5016 Scoville Place,4.12
258,SH00258,Devbug,Tayang,679 Continental Crossing,3.92
259,SH00259,Realcube,Zhonghechang,89 Sunnyside Place,3.22
260,SH00260,Jaxnation,Lukovica pri Domžalah,92350 Veith Crossing,3.82
261,SH00261,Skinte,Dolice,5 8th Parkway,3.62
262,SH00262,Innotype,Siepraw,7 Mendota Crossing,4.02
263,SH00263,Edgeblab,Tirat Karmel,409 Nelson Hill,4.32
264,SH00264,Dabtype,Beyla,6 Hauk Lane,4.02
265,SH00265,Twinder,Emiliano Zapata,31469 Talmadge Hill,3.12
266,SH00266,Ailane,Concepcion,67 Jenna Terrace,3.52
267,SH00267,Cogidoo,Iwo,643 Talmadge Street,4.02
268,SH00268,Centizu,Lila,98273 Crowley Center,4.02
269,SH00269,Ntags,Guangshun,0538 Bartelt Parkway,4.32
270,SH00270,Flashspan,Arcena Pequena,198 Schiller Terrace,4.62
271,SH00271,Feedfish,Xucheng,297 Arapahoe Trail,4.42
272,SH00272,Plajo,Cernache do Bonjardim,22025 Fair Oaks Circle,3.72
273,SH00273,Meejo,Cerenti,271 Stang Point,3.62
274,SH00274,Npath,Tantu,5 Autumn Leaf Plaza,4.12
275,SH00275,Edgeblab,Kilkenny,54888 Waywood Terrace,4.22
276,SH00276,Izio,Sarbīsheh,38946 Ludington Center,3.02
277,SH00277,Yacero,Maoya,80011 Hallows Court,3.82
278,SH00278,Twitterlist,Verbivka,2393 Homewood Hill,4.52
279,SH00279,Teklist,Paitan Este,57914 Maryland Terrace,4.22
280,SH00280,Blogtags,Mungo,5999 Carpenter Court,3.22
281,SH00281,Tazz,Yangba,139 Stoughton Hill,4.02
282,SH00282,Gabcube,Jatinagara,154 Shopko Avenue,4.72
283,SH00283,Skilith,San Vicente,8110 Dunning Trail,3.52
284,SH00284,Edgeclub,Maqbanah,294 Continental Plaza,4.02
285,SH00285,Fliptune,San Miguel,4 Northland Center,4.82
286,SH00286,Livepath,Manticao,183 Fairview Road,3.62
287,SH00287,Reallinks,Sholokhove,63 Morningstar Trail,4.62
288,SH00288,Kwinu,Auriflama,9 Mosinee Drive,3.42
289,SH00289,Rhyloo,Nanto-shi,99280 Nobel Road,3.02
290,SH00290,Voonder,Thatta,15679 Clemons Street,3.72
291,SH00291,Dynabox,Zubin Potok,6 Jana Center,3.22
292,SH00292,Teklist,Tiyuguan,96138 Brentwood Plaza,3.72
293,SH00293,Trilia,Sahavato,34739 Superior Street,3.32
294,SH00294,Nlounge,Cuntan,6 Gateway Park,4.92
295,SH00295,Photobean,Kato Pyrgos,1 Summit Junction,3.22
296,SH00296,Edgeclub,Shayuan,0912 Marquette Circle,4.82
297,SH00297,Shufflester,Yonghe,50 Packers Junction,4.92
298,SH00298,Jaloo,Sulak,495 Forest Dale Circle,4.12
299,SH00299,Izio,Okotoks,0627 Monument Way,3.42
300,SH00300,Tekfly,Dili,76 Mockingbird Street,4.12
301,SH00301,Mymm,Zhangshi,719 Loeprich Crossing,3.82
302,SH00302,Miboo,Pau,1 Northport Center,4.72
303,SH00303,Pixonyx,Xinle,923 Cottonwood Way,4.12
304,SH00304,Youfeed,Växjö,11781 Hooker Circle,4.22
305,SH00305,Photobug,Huaidao,49 Mariners Cove Alley,3.02
306,SH00306,Wordtune,Fier,6881 Blackbird Hill,3.92
307,SH00307,Shufflebeat,Novalja,05 Old Gate Alley,4.02
308,SH00308,InnoZ,Mananara,9727 East Junction,3.02
309,SH00309,Yodel,Huaqiao,7 Fremont Crossing,4.02
310,SH00310,Fivebridge,Diriomo,30 Straubel Trail,4.32
311,SH00311,Devify,Wingham,05227 Waxwing Center,4.52
312,SH00312,Tazz,Yangqiao,00308 Farragut Trail,3.12
313,SH00313,Devcast,Krajanjugosari,130 Sachtjen Place,3.42
314,SH00314,Quinu,St. Catharines,21806 Oxford Park,4.42
315,SH00315,Brainbox,Ngoc Hon Doc,11 Lillian Junction,3.22
316,SH00316,Trunyx,Courelas Bravas,08000 American Plaza,3.72
317,SH00317,Photofeed,Dado,581 Vahlen Trail,3.62
318,SH00318,Meemm,Ash Shuqayrah,98 Haas Terrace,4.02
319,SH00319,Skilith,Glugur Krajan,233 Lighthouse Bay Lane,3.42
320,SH00320,Yodo,Fornelos,55 Dixon Road,3.12
321,SH00321,Rhynyx,Baocun,2647 Hanson Terrace,4.22
322,SH00322,Devshare,Oslo,312 Tennyson Way,4.02
323,SH00323,Zoonder,Cavaillon,8 Lotheville Road,4.62
324,SH00324,Nlounge,Verkhnya Rozhanka,47 Loomis Parkway,4.22
325,SH00325,Pixoboo,Taveiro,046 Colorado Circle,3.22
326,SH00326,Myworks,Calheta,47 Fulton Road,3.82
327,SH00327,Aimbu,Marigot,0172 Hauk Alley,4.72
328,SH00328,Topicstorm,Maki,16 Village Point,3.12
329,SH00329,Fliptune,Fushi,3 Lakeland Trail,4.32
330,SH00330,Rooxo,La Foa,11 Dapin Drive,4.52
331,SH00331,Yata,Quwa,15677 Memorial Crossing,4.32
332,SH00332,Wikibox,Pokrovka,073 Dawn Parkway,3.72
333,SH00333,Zoozzy,Daxing,559 Ridgeview Hill,4.72
334,SH00334,Riffwire,Milotice,7268 Hauk Trail,4.02
335,SH00335,Fiveclub,Pjanići,46 Di Loreto Avenue,3.32
336,SH00336,Wikivu,Djambala,593 Ilene Road,3.92
337,SH00337,Aivee,Jongīyeh,9035 Bartillon Junction,3.02
338,SH00338,Tagopia,Jajce,260 Walton Place,3.82
339,SH00339,Jabberstorm,Toshkivka,67 Delaware Parkway,4.72
340,SH00340,Skalith,Ruda Śląska,99366 Birchwood Place,4.72
341,SH00341,Divavu,Fukuroi,0 Katie Point,4.52
342,SH00342,Livetube,Ljusdal,115 Randy Center,4.02
343,SH00343,Realfire,Vicente Guerrero,259 Mallory Junction,4.72
344,SH00344,Digitube,‘Anjarah,4 Melby Alley,4.72
345,SH00345,Cogidoo,Jishigang,03611 Bluestem Plaza,3.42
346,SH00346,Tagchat,Manokwari,602 Browning Hill,4.42
347,SH00347,Brainlounge,Kuantan,44455 Morning Circle,3.22
348,SH00348,Eare,Wojcieszków,01 Ryan Parkway,4.12
349,SH00349,Meemm,Qingquan,78952 Main Pass,4.52
350,SH00350,Viva,El Bagre,9470 Calypso Place,4.92
351,SH00351,Realcube,Sulūk,137 Milwaukee Street,4.12
352,SH00352,Gabtune,Lincuo,3251 Fisk Plaza,4.42
353,SH00353,Twitterworks,Nam Kliang,45092 Scoville Pass,4.32
354,SH00354,Divape,Předklášteří,418 Heath Point,3.32
355,SH00355,Yabox,Santa Cruz,94 Old Gate Hill,3.32
356,SH00356,Cogidoo,Popovi,033 Ilene Crossing,3.22
357,SH00357,Omba,Novomyshastovskaya,99 Di Loreto Park,3.22
358,SH00358,Cogidoo,Bombarral,3 Boyd Road,3.72
359,SH00359,Roombo,El Retiro,38 8th Junction,3.82
360,SH00360,Avamba,Adani,616 Continental Trail,4.22
361,SH00361,Centimia,Foso,945 Burrows Place,3.72
362,SH00362,Eimbee,Lukashin,9 East Point,3.02
363,SH00363,Voomm,Yishui,94 Little Fleur Circle,4.42
364,SH00364,Meeveo,Lutowiska,83960 Manley Plaza,3.32
365,SH00365,Fatz,Bent Jbaïl,2671 Corben Park,4.22
366,SH00366,Jazzy,Krasnokamensk,954 Eliot Trail,4.82
367,SH00367,Yotz,Midland,49917 Cherokee Hill,4.22
368,SH00368,Janyx,Leshukonskoye,14135 Center Court,3.52
369,SH00369,Blogtags,Samir,23 Monterey Road,3.92
370,SH00370,Voomm,Novovarshavka,4562 Anzinger Hill,4.52
371,SH00371,Centimia,Tugusirna,10339 Elmside Street,3.92
372,SH00372,Skiptube,Pasacao,8638 Jackson Center,4.62
373,SH00373,Kayveo,Turi,16 Glacier Hill Plaza,4.52
374,SH00374,Jetpulse,Rive-de-Gier,0041 Drewry Street,4.52
375,SH00375,Skippad,Sozopol,429 Dottie Hill,3.62
376,SH00376,Jabbersphere,Echeng,035 Bartelt Point,4.62
377,SH00377,InnoZ,San Mariano,9 Delladonna Circle,3.72
378,SH00378,Rhyloo,Nakonde,3 Namekagon Road,4.02
379,SH00379,Jatri,Cibitung,82 Mendota Avenue,4.12
380,SH00380,Fivebridge,Mesquite,79933 Mitchell Crossing,3.42
381,SH00381,Blogtag,Kedungtulup,3635 Westerfield Plaza,4.12
382,SH00382,Mita,Ban Chang,539 Ryan Avenue,3.32
383,SH00383,Linkbridge,Cikandang,0507 Scoville Circle,3.22
384,SH00384,Photobug,Orsay,99854 Goodland Pass,4.42
385,SH00385,InnoZ,Lattes,79 Scott Avenue,4.22
386,SH00386,Dynabox,Tianning,80 Dennis Center,4.72
387,SH00387,Dynazzy,Harembo,4 Fallview Drive,4.42
388,SH00388,Mymm,Tāfuna,21923 Nobel Way,3.52
389,SH00389,Babbleopia,Tučepi,300 Vidon Place,4.12
390,SH00390,Devbug,Malabago,89642 Farmco Lane,3.42
391,SH00391,Oyondu,Talhār,3 Randy Place,4.52
392,SH00392,Mita,Caotang,15741 Division Place,4.62
393,SH00393,Rhyzio,Jayaraga Kaler,51 Service Terrace,4.62
394,SH00394,Meembee,Marechal Deodoro,4651 Manitowish Road,3.02
395,SH00395,Quinu,Helmsange,3018 Shoshone Street,3.12
396,SH00396,Npath,Tshaneni,8910 Hayes Hill,3.42
397,SH00397,Mynte,Wielki Kack,5 Coleman Avenue,3.42
398,SH00398,Thoughtblab,Azacualpa,6054 Westerfield Park,4.72
399,SH00399,Babblestorm,Lusambo,380 Sheridan Avenue,4.02
400,SH00400,Innojam,Ganjiang,4 8th Pass,4.72
401,SH00401,Voonix,Eci,481 Clarendon Street,3.72
402,SH00402,Mydo,Qingping,746 Novick Parkway,4.32
403,SH00403,Katz,Kadukaung,50 Porter Parkway,4.42
404,SH00404,Myworks,Bereeda,6144 Talisman Parkway,4.92
405,SH00405,Roomm,Älmhult,2980 Morning Place,4.42
406,SH00406,Muxo,Dutsin Ma,533 Elmside Park,3.42
407,SH00407,Skinte,Xiayang,20 Sutherland Circle,3.32
408,SH00408,Youspan,Demba,47 Schmedeman Road,3.82
409,SH00409,Thoughtworks,Siaton,831 Westport Hill,4.92
410,SH00410,Fivebridge,Almeria,74 Independence Trail,4.12
411,SH00411,Myworks,Berehomet,9180 Longview Park,3.42
412,SH00412,Bluejam,Bolian,29 Melrose Parkway,4.02
