PurchaseID,ShopID,UserID,PurchaseDate
PU00102,SH00869,SU00285,2019-10-08
PU00103,SH00754,SU00222,2020-10-27
PU00104,SH00360,SU00863,2020-03-05
PU00105,SH00548,SU00008,2021-05-30
PU00106,SH00422,SU00082,2019-09-05
PU00107,SH00320,SU00313,2019-04-08
PU00108,SH00975,SU00305,2021-04-02
PU00109,SH00014,SU00725,2021-01-25
PU00110,SH00998,SU00482,2020-02-01
PU00111,SH00879,SU00547,2020-03-27
PU00112,SH00334,SU00121,2019-01-15
PU00113,SH00502,SU00884,2019-08-15
PU00114,SH00483,SU00171,2019-10-03
PU00115,SH00903,SU00587,2021-04-30
PU00116,SH00582,SU00393,2020-08-14
PU00117,SH00258,SU00320,2019-09-30
PU00118,SH00738,SU00447,2020-12-19
PU00119,SH00532,SU00681,2020-08-26
PU00120,SH00914,SU00158,2019-09-01
PU00121,SH00674,SU00809,2019-01-21
PU00122,SH00312,SU00139,2020-07-22
PU00123,SH00111,SU00174,2020-07-11
PU00124,SH00293,SU00704,2020-05-29
PU00125,SH00870,SU00851,2020-03-05
PU00126,SH00462,SU00785,2020-10-05
PU00127,SH00633,SU00081,2020-07-27
PU00128,SH00753,SU00964,2020-10-09
PU00129,SH00772,SU00791,2020-09-07
PU00130,SH00182,SU00366,2020-08-14
PU00131,SH00408,SU00228,2019-06-08
PU00132,SH00289,SU00932,2020-01-11
PU00133,SH00477,SU00081,2020-12-11
PU00134,SH00523,SU00218,2020-03-30
PU00135,SH00548,SU00406,2021-02-18
PU00136,SH00428,SU00896,2021-03-22
PU00137,SH00117,SU00865,2020-07-31
PU00138,SH00283,SU00453,2019-03-29
PU00139,SH00515,SU00017,2021-01-15
PU00140,SH00150,SU00900,2021-04-24
PU00141,SH00172,SU00919,2020-06-14
PU00142,SH00915,SU00106,2021-01-04
PU00143,SH00733,SU00647,2021-02-15
PU00144,SH00122,SU00476,2020-07-11
PU00145,SH00432,SU00085,2019-11-02
PU00146,SH00197,SU00482,2021-03-09
PU00147,SH00866,SU00905,2019-01-13
PU00148,SH00437,SU00046,2021-05-16
PU00149,SH00229,SU00687,2021-02-06
PU00150,SH00905,SU00961,2021-05-20
PU00151,SH00097,SU00079,2020-08-08
PU00152,SH00832,SU00507,2019-03-26
PU00153,SH00658,SU00691,2021-03-04
PU00154,SH00847,SU00820,2021-02-12
PU00155,SH00646,SU00104,2021-02-23
PU00156,SH00280,SU00803,2020-07-24
PU00157,SH00480,SU00073,2019-05-15
PU00158,SH00022,SU00521,2020-12-28
PU00159,SH00310,SU00261,2021-05-22
PU00160,SH00162,SU00513,2019-11-17
PU00161,SH00075,SU00777,2020-02-07
PU00162,SH00188,SU00450,2020-02-20
PU00163,SH00496,SU00098,2020-05-18
PU00164,SH00267,SU00849,2019-05-13
PU00165,SH00810,SU00230,2019-05-11
PU00166,SH00460,SU00624,2020-02-13
PU00167,SH00124,SU00760,2019-03-21
PU00168,SH00647,SU00869,2021-04-05
PU00169,SH00901,SU00110,2019-05-23
PU00170,SH00527,SU00064,2019-12-26
PU00171,SH00925,SU00694,2020-03-01
PU00172,SH00606,SU00159,2020-05-11
PU00173,SH00124,SU00773,2021-01-04
PU00174,SH00019,SU00887,2019-04-05
PU00175,SH00728,SU00336,2021-01-17
PU00176,SH00294,SU00743,2021-02-08
PU00177,SH00026,SU00880,2020-10-06
PU00178,SH00476,SU00945,2021-05-14
PU00179,SH00739,SU00612,2020-03-08
PU00180,SH00626,SU00902,2020-03-06
PU00181,SH00544,SU00504,2021-01-24
PU00182,SH00599,SU00720,2020-11-04
PU00183,SH00737,SU00709,2019-11-11
PU00184,SH00726,SU00658,2020-01-02
PU00185,SH00612,SU00833,2019-12-24
PU00186,SH00816,SU00454,2019-06-26
PU00187,SH00242,SU00589,2020-06-29
PU00188,SH00698,SU00912,2020-09-03
PU00189,SH00847,SU00043,2020-10-05
PU00190,SH00007,SU00219,2020-05-13
PU00191,SH00757,SU00201,2019-03-10
PU00192,SH00178,SU00055,2019-10-07
PU00193,SH00764,SU00729,2019-05-16
PU00194,SH00001,SU00109,2021-05-21
PU00195,SH00232,SU00328,2021-01-18
PU00196,SH00353,SU00363,2020-12-01
PU00197,SH00251,SU00735,2021-05-01
PU00198,SH00155,SU00538,2020-02-12
PU00199,SH00438,SU00986,2019-03-16
PU00200,SH00855,SU00715,2020-11-30
PU00201,SH00278,SU00361,2019-11-17
PU00202,SH00316,SU00979,2019-05-27
PU00203,SH00243,SU00912,2019-11-13
PU00204,SH00530,SU00524,2019-07-10
PU00205,SH00330,SU00849,2020-11-04
PU00206,SH00929,SU00251,2020-11-01
PU00207,SH00184,SU00256,2021-02-27
PU00208,SH00583,SU00015,2019-02-16
PU00209,SH00681,SU00106,2019-01-14
PU00210,SH00508,SU00994,2020-10-21
PU00211,SH00421,SU00080,2019-07-25
PU00212,SH00585,SU00543,2020-12-04
PU00213,SH00997,SU00769,2020-09-04
PU00214,SH00588,SU00621,2020-09-29
PU00215,SH00965,SU00391,2019-08-18
PU00216,SH00609,SU00351,2021-02-06
PU00217,SH00764,SU00220,2021-05-20
PU00218,SH00779,SU00595,2020-06-04
PU00219,SH00934,SU00089,2019-07-23
PU00220,SH00439,SU00328,2019-01-06
PU00221,SH00658,SU00735,2019-07-05
PU00222,SH00773,SU00269,2020-01-13
PU00223,SH00530,SU00642,2019-10-13
PU00224,SH00779,SU00006,2020-01-28
PU00225,SH00097,SU00811,2020-07-16
PU00226,SH00012,SU00385,2021-04-28
PU00227,SH00976,SU00096,2020-09-06
PU00228,SH00197,SU00924,2019-08-19
PU00229,SH00764,SU00089,2019-08-19
PU00230,SH00179,SU00392,2019-10-23
PU00231,SH00828,SU00842,2020-11-05
PU00232,SH00212,SU00337,2020-02-20
PU00233,SH00335,SU00933,2019-05-14
PU00234,SH00617,SU00671,2021-01-06
PU00235,SH00497,SU00252,2021-02-25
PU00236,SH00540,SU00683,2019-09-29
PU00237,SH00466,SU00205,2020-10-20
PU00238,SH00468,SU00327,2019-05-22
PU00239,SH00409,SU00655,2019-07-27
PU00240,SH00436,SU00716,2020-01-24
PU00241,SH00894,SU00151,2019-02-14
PU00242,SH00040,SU00523,2019-04-30
PU00243,SH00401,SU00891,2020-11-07
PU00244,SH00905,SU00874,2019-07-15
PU00245,SH00927,SU00726,2019-07-20
PU00246,SH00109,SU00187,2020-07-15
PU00247,SH00332,SU00423,2019-09-23
PU00248,SH00417,SU00961,2020-02-23
PU00249,SH00163,SU00944,2020-10-18
PU00250,SH00812,SU00335,2020-02-05
PU00251,SH00961,SU00806,2019-01-25
PU00252,SH00806,SU00880,2019-01-20
PU00253,SH00426,SU00994,2019-04-20
PU00254,SH00106,SU00334,2020-07-03
PU00255,SH00803,SU00082,2020-01-17
PU00256,SH00005,SU00147,2020-01-11
PU00257,SH00199,SU00149,2021-03-10
PU00258,SH00938,SU00316,2020-01-15
PU00259,SH00633,SU00175,2020-04-08
PU00260,SH00055,SU00462,2019-10-14
PU00261,SH00615,SU00451,2021-05-25
PU00262,SH00332,SU00202,2019-03-12
PU00263,SH00160,SU00218,2020-09-28
PU00264,SH00142,SU00627,2019-02-19
PU00265,SH00071,SU00041,2020-04-04
PU00266,SH00212,SU00749,2020-12-28
PU00267,SH00701,SU00089,2020-08-02
PU00268,SH00622,SU00443,2019-08-29
PU00269,SH00557,SU00090,2019-02-10
PU00270,SH00053,SU00555,2019-08-03
PU00271,SH00574,SU00890,2019-07-22
PU00272,SH00879,SU00733,2020-04-22
PU00273,SH00001,SU00266,2020-04-05
PU00274,SH00565,SU00268,2020-11-06
PU00275,SH00554,SU00152,2020-03-08
PU00276,SH00864,SU00237,2020-02-13
PU00277,SH00259,SU00602,2020-04-02
PU00278,SH00686,SU00959,2019-03-03
PU00279,SH00644,SU00491,2021-03-08
PU00280,SH00726,SU00626,2020-12-28
PU00281,SH00470,SU00838,2020-04-18
PU00282,SH00101,SU00755,2021-03-09
PU00283,SH00951,SU00109,2019-10-31
PU00284,SH00856,SU00463,2019-11-16
PU00285,SH00552,SU00111,2019-10-18
PU00286,SH00743,SU00144,2021-01-18
PU00287,SH00099,SU00296,2019-07-15
PU00288,SH00296,SU00472,2020-02-11
PU00289,SH00718,SU00078,2020-08-08
PU00290,SH00100,SU00646,2019-04-15
PU00291,SH00804,SU00629,2020-12-08
PU00292,SH00277,SU00437,2020-04-22
PU00293,SH00733,SU00394,2020-11-13
PU00294,SH00593,SU00717,2020-11-17
PU00295,SH00334,SU00552,2020-02-12
PU00296,SH00651,SU00888,2020-10-03
PU00297,SH00062,SU00743,2019-02-16
PU00298,SH00859,SU00797,2019-05-19
PU00299,SH00507,SU00817,2019-10-24
PU00300,SH00386,SU00700,2019-07-04
PU00301,SH00958,SU00520,2021-03-17
PU00302,SH00641,SU00882,2020-09-26
PU00303,SH00572,SU00757,2020-11-23
PU00304,SH00300,SU00953,2021-05-22
PU00305,SH00350,SU00604,2020-02-01
PU00306,SH00211,SU00294,2021-02-08
PU00307,SH00324,SU00269,2019-10-05
PU00308,SH00841,SU00986,2020-10-31
PU00309,SH00796,SU00146,2019-02-28
PU00310,SH00537,SU00016,2020-02-19
PU00311,SH00885,SU00114,2019-07-03
PU00312,SH00571,SU00035,2019-02-22
PU00313,SH00569,SU00539,2020-10-21
PU00314,SH00507,SU00462,2019-05-30
PU00315,SH00974,SU00101,2019-05-24
PU00316,SH00248,SU00577,2019-10-03
PU00317,SH00621,SU00020,2020-01-14
PU00318,SH00861,SU00632,2020-04-29
PU00319,SH00951,SU00636,2021-01-26
PU00320,SH00570,SU00844,2019-08-07
PU00321,SH00618,SU00271,2020-10-22
PU00322,SH00906,SU00210,2019-12-19
PU00323,SH00303,SU00376,2019-04-02
PU00324,SH00778,SU00869,2019-10-01
PU00325,SH00996,SU00455,2020-06-15
PU00326,SH00244,SU00251,2020-08-31
PU00327,SH00017,SU00175,2021-01-28
PU00328,SH00092,SU00175,2020-09-10
PU00329,SH00550,SU00667,2019-07-03
PU00330,SH00460,SU00013,2019-07-22
PU00331,SH00398,SU00929,2021-02-07
PU00332,SH00722,SU00750,2020-03-27
PU00333,SH00843,SU00327,2021-03-22
PU00334,SH00508,SU00207,2020-02-10
PU00335,SH00853,SU00326,2019-02-03
PU00336,SH00042,SU00934,2020-04-08
PU00337,SH00864,SU00900,2019-10-13
PU00338,SH00567,SU00255,2020-11-05
PU00339,SH00123,SU00053,2019-08-02
PU00340,SH00402,SU00712,2019-07-11
PU00341,SH00096,SU00423,2020-03-10
PU00342,SH00713,SU00104,2020-02-08
PU00343,SH00994,SU00376,2021-02-07
PU00344,SH00368,SU00760,2021-05-01
PU00345,SH00936,SU00107,2021-05-22
PU00346,SH00589,SU00126,2020-11-05
PU00347,SH00558,SU00925,2019-09-01
PU00348,SH00643,SU00535,2019-10-30
PU00349,SH00426,SU00388,2020-10-18
PU00350,SH00241,SU00033,2020-11-06
PU00351,SH00602,SU00552,2019-10-21
PU00352,SH00210,SU00860,2019-02-12
PU00353,SH00954,SU00375,2020-12-16
PU00354,SH00399,SU00860,2020-01-14
PU00355,SH00938,SU00266,2019-12-25
PU00356,SH00451,SU00321,2020-01-05
PU00357,SH00620,SU00629,2019-12-27
PU00358,SH00602,SU00485,2021-03-27
PU00359,SH00757,SU00035,2019-03-16
PU00360,SH00412,SU00526,2019-07-19
PU00361,SH00562,SU00936,2019-03-06
PU00362,SH00161,SU00370,2021-01-09
PU00363,SH00921,SU00744,2021-03-17
PU00364,SH00597,SU00618,2021-02-14
PU00365,SH00597,SU00855,2021-02-11
PU00366,SH00862,SU00446,2020-09-21
PU00367,SH00883,SU00790,2019-07-11
PU00368,SH00370,SU00826,2020-09-14
PU00369,SH00109,SU00705,2019-08-11
PU00370,SH00671,SU00965,2021-02-02
PU00371,SH00478,SU00854,2021-01-25
PU00372,SH00638,SU00153,2021-04-21
PU00373,SH00088,SU00710,2019-05-10
PU00374,SH00490,SU00988,2021-01-08
PU00375,SH00259,SU00208,2019-08-14
PU00376,SH00316,SU00589,2021-01-23
PU00377,SH00929,SU00127,2019-09-05
PU00378,SH00615,SU00191,2019-04-27
PU00379,SH00277,SU00682,2020-02-03
PU00380,SH00574,SU00279,2021-04-24
PU00381,SH00911,SU00240,2019-09-12
PU00382,SH00744,SU00508,2021-03-24
PU00383,SH00994,SU00926,2019-04-20
PU00384,SH00501,SU00593,2020-02-14
PU00385,SH00966,SU00171,2019-01-07
PU00386,SH00050,SU00120,2019-11-18
PU00387,SH00476,SU00227,2020-06-06
PU00388,SH00596,SU00514,2020-06-29
PU00389,SH00430,SU00172,2019-12-20
PU00390,SH00361,SU00546,2020-08-02
PU00391,SH00562,SU00284,2021-04-09
PU00392,SH00428,SU00983,2019-04-16
PU00393,SH00074,SU00425,2020-06-10
PU00394,SH00146,SU00406,2020-03-17
PU00395,SH00258,SU00376,2020-08-22
PU00396,SH00949,SU00427,2019-06-23
PU00397,SH00578,SU00490,2019-02-24
PU00398,SH00175,SU00397,2021-03-17
PU00399,SH00315,SU00765,2020-07-14
PU00400,SH00124,SU00607,2020-06-09
PU00401,SH00428,SU00259,2019-09-07
PU00402,SH00707,SU00980,2021-04-17
PU00403,SH00648,SU00684,2019-02-05
PU00404,SH00703,SU00716,2020-05-14
PU00405,SH00951,SU00389,2019-05-27
PU00406,SH00574,SU00579,2021-03-22
PU00407,SH00527,SU00733,2020-08-10
PU00408,SH00529,SU00895,2020-11-27
PU00409,SH00305,SU00306,2019-11-23
PU00410,SH00580,SU00580,2019-01-14
PU00411,SH00343,SU00339,2020-07-24
PU00412,SH00537,SU00017,2019-06-15
PU00413,SH00704,SU00493,2019-02-19
PU00414,SH00232,SU00485,2020-05-16
PU00415,SH00028,SU00116,2021-05-08
PU00416,SH00211,SU00714,2021-04-11
PU00417,SH00451,SU00474,2020-08-16
PU00418,SH00310,SU00405,2020-08-06
PU00419,SH00829,SU00094,2020-08-15
PU00420,SH00378,SU00951,2021-04-06
PU00421,SH00036,SU00154,2020-07-29
PU00422,SH00774,SU00587,2019-06-05
PU00423,SH00891,SU00791,2019-04-16
PU00424,SH00812,SU00878,2021-01-26
PU00425,SH00643,SU00897,2021-01-29
PU00426,SH00609,SU00432,2020-04-27
PU00427,SH00721,SU00878,2021-01-09
PU00428,SH00132,SU00790,2019-04-07
PU00429,SH00726,SU00028,2020-01-17
PU00430,SH00340,SU00308,2019-12-06
PU00431,SH00448,SU00963,2019-01-24
PU00432,SH00699,SU00580,2020-08-06
PU00433,SH00161,SU00052,2020-03-07
PU00434,SH00784,SU00807,2019-02-20
PU00435,SH00016,SU00530,2020-02-21
PU00436,SH00991,SU00418,2020-11-12
PU00437,SH00664,SU00453,2019-06-01
PU00438,SH00960,SU00266,2021-04-08
PU00439,SH00438,SU00037,2021-02-04
PU00440,SH00251,SU00902,2020-06-16
PU00441,SH00555,SU00647,2020-09-11
PU00442,SH00097,SU00160,2020-12-23
PU00443,SH00822,SU00590,2021-04-16
PU00444,SH00624,SU00035,2021-04-17
PU00445,SH00647,SU00037,2020-02-08
PU00446,SH00186,SU00581,2019-07-09
PU00447,SH00028,SU00222,2021-03-14
PU00448,SH00306,SU00110,2019-07-17
PU00449,SH00216,SU00137,2020-06-09
PU00450,SH00304,SU00226,2020-07-13
PU00451,SH00457,SU00272,2021-05-01
PU00452,SH00048,SU00632,2019-10-06
PU00453,SH00979,SU00707,2020-07-21
PU00454,SH00306,SU00426,2021-02-28
PU00455,SH00113,SU00898,2021-05-20
PU00456,SH00196,SU00754,2020-03-29
PU00457,SH00861,SU00685,2019-03-13
PU00458,SH00746,SU00863,2021-05-27
PU00459,SH00834,SU00201,2021-04-25
PU00460,SH00514,SU00295,2020-05-16
PU00461,SH00624,SU00154,2019-03-06
PU00462,SH00579,SU00045,2019-05-23
PU00463,SH00294,SU00900,2020-05-05
PU00464,SH00122,SU00470,2019-04-11
PU00465,SH00515,SU00917,2019-04-30
PU00466,SH00159,SU00541,2020-09-24
PU00467,SH00877,SU00138,2020-06-17
PU00468,SH00496,SU00284,2020-09-09
PU00469,SH00673,SU00405,2019-04-03
PU00470,SH00642,SU00204,2020-12-31
PU00471,SH00092,SU00895,2021-03-16
PU00472,SH00645,SU00389,2020-02-18
PU00473,SH00563,SU00341,2019-10-25
PU00474,SH00057,SU00359,2019-03-26
PU00475,SH00580,SU00516,2019-02-25
PU00476,SH00668,SU00567,2019-03-23
PU00477,SH00824,SU00100,2020-08-11
PU00478,SH00116,SU00284,2020-05-18
PU00479,SH00437,SU00434,2021-05-20
PU00480,SH00247,SU00002,2021-05-25
PU00481,SH00669,SU00819,2019-07-09
PU00482,SH00471,SU00835,2019-03-28
PU00483,SH00334,SU00017,2019-11-27
PU00484,SH00245,SU00558,2019-12-10
PU00485,SH00556,SU00907,2019-06-09
PU00486,SH00594,SU00937,2021-04-20
PU00487,SH00991,SU00567,2021-03-26
PU00488,SH00464,SU00145,2019-12-13
PU00489,SH00371,SU00780,2020-11-26
PU00490,SH00657,SU00939,2021-02-10
PU00491,SH00508,SU00242,2019-03-02
PU00492,SH00214,SU00017,2020-07-29
PU00493,SH00986,SU00446,2020-06-26
PU00494,SH00660,SU00556,2020-11-08
PU00495,SH00616,SU00968,2020-02-22
PU00496,SH00819,SU00764,2020-08-23
PU00497,SH00235,SU00536,2020-12-06
PU00498,SH00657,SU00446,2020-02-15
PU00499,SH00508,SU00934,2019-05-23
PU00500,SH00281,SU00837,2021-02-10
PU00501,SH00087,SU00221,2020-09-09
PU00502,SH00607,SU00924,2019-03-22
PU00503,SH00572,SU00925,2019-02-06
PU00504,SH00482,SU00002,2020-05-31
PU00505,SH01000,SU00982,2021-04-21
PU00506,SH00867,SU00412,2019-12-27
PU00507,SH00374,SU00818,2019-11-23
PU00508,SH00221,SU00447,2021-04-08
PU00509,SH00232,SU00385,2019-04-01
PU00510,SH00677,SU00190,2020-04-03
PU00511,SH00044,SU00686,2020-09-06
PU00512,SH00355,SU00222,2019-02-27
PU00513,SH00770,SU00053,2021-02-05
PU00514,SH00017,SU00150,2021-03-22
PU00515,SH00353,SU00029,2019-09-28
PU00516,SH00273,SU00626,2020-03-16
PU00517,SH00195,SU00658,2019-08-22
PU00518,SH00535,SU00352,2020-05-28
PU00519,SH00704,SU00211,2021-05-02
PU00520,SH00013,SU00800,2020-01-31
PU00521,SH00950,SU00164,2019-10-27
PU00522,SH00263,SU00476,2019-11-12
PU00523,SH00209,SU00242,2020-01-06
PU00524,SH00940,SU00431,2019-02-11
PU00525,SH00009,SU00168,2020-12-09
PU00526,SH00235,SU00337,2020-11-01
PU00527,SH00764,SU00236,2020-02-17
PU00528,SH00598,SU00553,2019-07-08
PU00529,SH00212,SU00115,2019-04-12
PU00530,SH00104,SU00023,2020-01-22
PU00531,SH00923,SU00381,2021-05-07
PU00532,SH00958,SU00435,2020-01-24
PU00533,SH00613,SU00397,2019-08-23
PU00534,SH00313,SU00748,2019-04-22
PU00535,SH00208,SU00804,2019-12-09
PU00536,SH00932,SU00095,2019-01-31
PU00537,SH00288,SU00473,2020-02-16
PU00538,SH00911,SU00289,2020-08-04
PU00539,SH00043,SU00796,2019-08-12
PU00540,SH00523,SU00826,2019-02-23
PU00541,SH00147,SU00827,2019-10-01
PU00542,SH00112,SU00877,2020-10-02
PU00543,SH00029,SU00913,2020-01-18
PU00544,SH00858,SU00235,2021-03-09
PU00545,SH00636,SU00055,2020-05-14
PU00546,SH00525,SU00695,2021-04-20
PU00547,SH00261,SU00515,2020-06-05
PU00548,SH00329,SU00108,2020-12-07
PU00549,SH00892,SU00315,2020-02-28
PU00550,SH00635,SU00941,2019-07-03
PU00551,SH00446,SU00009,2021-04-11
PU00552,SH00364,SU00623,2019-11-16
PU00553,SH00655,SU00758,2019-03-10
PU00554,SH00303,SU00188,2020-08-19
PU00555,SH00690,SU00547,2019-05-16
PU00556,SH00305,SU00529,2020-09-09
PU00557,SH00785,SU00448,2019-08-10
PU00558,SH00735,SU00161,2019-06-27
PU00559,SH00847,SU00438,2019-06-29
PU00560,SH00205,SU00743,2020-03-26
PU00561,SH00858,SU00953,2021-04-05
PU00562,SH00191,SU00570,2019-02-21
PU00563,SH00259,SU00137,2020-05-22
PU00564,SH00851,SU00910,2019-08-26
PU00565,SH00539,SU00617,2019-10-27
PU00566,SH00175,SU00695,2021-01-12
PU00567,SH00125,SU00377,2020-02-26
PU00568,SH00738,SU00018,2020-09-02
PU00569,SH00385,SU00691,2019-09-27
PU00570,SH00011,SU00059,2021-05-28
PU00571,SH00263,SU00302,2020-10-26
PU00572,SH00728,SU00336,2019-08-08
PU00573,SH00573,SU00247,2019-03-04
PU00574,SH00253,SU00250,2020-06-29
PU00575,SH00812,SU00965,2019-03-05
PU00576,SH00326,SU00772,2019-03-11
PU00577,SH00975,SU00646,2021-04-07
PU00578,SH00759,SU00530,2019-11-03
PU00579,SH00918,SU00278,2019-05-28
PU00580,SH00433,SU00580,2021-01-25
PU00581,SH00150,SU00317,2020-05-08
PU00582,SH00635,SU00806,2019-12-25
PU00583,SH00069,SU00073,2021-05-26
PU00584,SH00301,SU00104,2019-04-05
PU00585,SH00218,SU00334,2019-08-27
PU00586,SH00011,SU00346,2021-03-24
PU00587,SH00337,SU00512,2020-06-06
PU00588,SH00764,SU00867,2020-05-24
PU00589,SH00985,SU00197,2020-11-24
PU00590,SH00150,SU00285,2020-11-15
PU00591,SH00199,SU00087,2021-03-20
PU00592,SH00759,SU00802,2019-05-15
PU00593,SH00755,SU00889,2020-07-31
PU00594,SH00323,SU00062,2020-05-29
PU00595,SH00963,SU00095,2020-11-09
PU00596,SH00583,SU00791,2020-09-27
PU00597,SH00762,SU00632,2019-06-04
PU00598,SH00216,SU00653,2021-01-01
PU00599,SH00034,SU00975,2020-10-08
PU00600,SH00343,SU00045,2019-06-10
PU00601,SH00848,SU00788,2019-04-24
PU00602,SH00347,SU00803,2019-10-30
PU00603,SH00512,SU00575,2020-02-26
PU00604,SH00250,SU00299,2019-04-01
PU00605,SH00836,SU00731,2019-02-12
PU00606,SH00308,SU00573,2019-08-24
PU00607,SH00595,SU00250,2021-01-03
PU00608,SH00568,SU00637,2019-01-09
PU00609,SH00953,SU00777,2019-01-31
PU00610,SH00576,SU00020,2021-03-30
PU00611,SH00595,SU00367,2021-01-11
PU00612,SH00820,SU00278,2019-01-20
PU00613,SH00599,SU00414,2021-04-05
PU00614,SH00116,SU00426,2020-02-25
PU00615,SH00776,SU00307,2019-09-13
PU00616,SH00919,SU00379,2019-12-17
PU00617,SH00479,SU00994,2021-03-19
PU00618,SH00517,SU00790,2019-10-21
PU00619,SH00502,SU00449,2019-10-24
PU00620,SH00180,SU00110,2019-03-03
PU00621,SH00235,SU00393,2020-09-28
PU00622,SH00508,SU00777,2019-11-26
PU00623,SH00802,SU00518,2020-11-13
PU00624,SH00457,SU00351,2020-06-23
PU00625,SH00161,SU00144,2021-05-25
PU00626,SH00318,SU00794,2020-04-03
PU00627,SH00278,SU00059,2019-08-20
PU00628,SH00059,SU00781,2020-04-27
PU00629,SH00663,SU00403,2020-08-01
PU00630,SH00522,SU00468,2021-02-14
PU00631,SH00854,SU00626,2019-03-11
PU00632,SH00476,SU00200,2019-04-28
PU00633,SH00924,SU00189,2020-04-17
PU00634,SH00116,SU00094,2020-11-17
