ShopID,ShopNo,ShopName,ShopCity,ShopAddress,ShopRating
SH00214,214,Skimia,Khromtau,206 Texas Road,4.62
SH00215,215,Youspan,Yacheng,9077 Orin Way,4.72
SH00216,216,Kamba,Fenhe,1 Gerald Way,3.22
SH00217,217,Jayo,Dardhas,5 Mallory Plaza,3.62
SH00218,218,Youopia,Hương Sơn,483 Westerfield Parkway,3.22
SH00219,219,JumpXS,Kansas City,54382 Troy Road,3.92
SH00220,220,Jetpulse,Jinli,3276 Bartillon Avenue,4.12
SH00221,221,Skipfire,Oele,8104 Continental Avenue,3.52
SH00222,222,Brainsphere,Yingyang,9 Maryland Center,4.72
SH00223,223,Plajo,Kombolcha,3 Elmside Street,4.12
SH00224,224,Skalith,Wadi,52 Cody Parkway,3.92
SH00225,225,Bubblemix,Mentaras,389 Stang Terrace,3.62
SH00226,226,Eabox,San Isidro,972 Roxbury Plaza,4.02
SH00227,227,Skimia,Quintã,64 Utah Avenue,3.82
SH00228,228,Thoughtsphere,Lijiang,928 Little Fleur Hill,3.52
SH00229,229,Twinte,Minchinābād,6994 Dwight Center,3.52
SH00230,230,Realblab,El Hatillo,92526 Eastlawn Junction,4.52
SH00231,231,Yabox,Dashuipo,5279 Clemons Drive,3.22
SH00232,232,Fivebridge,Nyima,4 Tennyson Road,3.42
SH00233,233,Yodel,Wangping,55 Meadow Valley Plaza,4.62
SH00234,234,Meezzy,Malpique,62801 Petterle Circle,4.82
SH00235,235,Twitterlist,Jadów,94762 Dawn Alley,3.32
SH00236,236,Rhycero,Laurel,99942 Nova Hill,3.72
SH00237,237,Browsedrive,Plei Kần,448 Lotheville Drive,3.42
SH00238,238,Yakidoo,Kashihara,591 Schmedeman Road,4.52
SH00239,239,BlogXS,Concepción del Bermejo,9518 Crowley Crossing,4.02
SH00240,240,Bluejam,Shāzand,20 Jackson Street,3.22
SH00241,241,Photofeed,Áyios Nikólaos,79104 Superior Terrace,4.82
SH00242,242,Meevee,Pinhal General,3439 Towne Crossing,3.02
SH00243,243,Tagchat,Kardítsa,50 Glacier Hill Parkway,4.52
SH00244,244,Blognation,Baitu,2 Mcguire Crossing,4.32
SH00245,245,Bubblebox,Shuangjie,452 Tennessee Drive,4.02
SH00246,246,Edgeify,Puyang,2 Mcbride Parkway,4.82
SH00247,247,Aibox,North Saanich,9 Forster Circle,4.32
SH00248,248,DabZ,Jiagao,01019 Meadow Vale Alley,4.22
SH00249,249,Minyx,Japerejo,4948 Hoard Park,4.62
SH00250,250,Youbridge,Kokkinóchoma,2667 Crownhardt Terrace,3.82
SH00251,251,Edgetag,Dalumangcob,01465 Lunder Avenue,3.62
SH00252,252,Minyx,Manzini,967 Lotheville Way,3.82
SH00253,253,Bubbletube,Três Passos,44537 Shasta Junction,4.62
SH00254,254,Jabbercube,Kovylkino,12383 Leroy Street,3.82
SH00255,255,Tazzy,Sosnovyy Bor,72158 Crowley Point,3.62
SH00256,256,Skalith,Subulussalam,06 Farragut Lane,3.72
SH00257,257,Lajo,El Sauce,5016 Scoville Place,4.12
SH00258,258,Devbug,Tayang,679 Continental Crossing,3.92
SH00259,259,Realcube,Zhonghechang,89 Sunnyside Place,3.22
SH00260,260,Jaxnation,Lukovica pri Domžalah,92350 Veith Crossing,3.82
SH00261,261,Skinte,Dolice,5 8th Parkway,3.62
SH00262,262,Innotype,Siepraw,7 Mendota Crossing,4.02
SH00263,263,Edgeblab,Tirat Karmel,409 Nelson Hill,4.32
SH00264,264,Dabtype,Beyla,6 Hauk Lane,4.02
SH00265,265,Twinder,Emiliano Zapata,31469 Talmadge Hill,3.12
SH00266,266,Ailane,Concepcion,67 Jenna Terrace,3.52
SH00267,267,Cogidoo,Iwo,643 Talmadge Street,4.02
SH00268,268,Centizu,Lila,98273 Crowley Center,4.02
SH00269,269,Ntags,Guangshun,0538 Bartelt Parkway,4.32
SH00270,270,Flashspan,Arcena Pequena,198 Schiller Terrace,4.62
SH00271,271,Feedfish,Xucheng,297 Arapahoe Trail,4.42
SH00272,272,Plajo,Cernache do Bonjardim,22025 Fair Oaks Circle,3.72
SH00273,273,Meejo,Cerenti,271 Stang Point,3.62
SH00274,274,Npath,Tantu,5 Autumn Leaf Plaza,4.12
SH00275,275,Edgeblab,Kilkenny,54888 Waywood Terrace,4.22
SH00276,276,Izio,Sarbīsheh,38946 Ludington Center,3.02
SH00277,277,Yacero,Maoya,80011 Hallows Court,3.82
SH00278,278,Twitterlist,Verbivka,2393 Homewood Hill,4.52
SH00279,279,Teklist,Paitan Este,57914 Maryland Terrace,4.22
SH00280,280,Blogtags,Mungo,5999 Carpenter Court,3.22
SH00281,281,Tazz,Yangba,139 Stoughton Hill,4.02
SH00282,282,Gabcube,Jatinagara,154 Shopko Avenue,4.72
SH00283,283,Skilith,San Vicente,8110 Dunning Trail,3.52
SH00284,284,Edgeclub,Maqbanah,294 Continental Plaza,4.02
SH00285,285,Fliptune,San Miguel,4 Northland Center,4.82
SH00286,286,Livepath,Manticao,183 Fairview Road,3.62
SH00287,287,Reallinks,Sholokhove,63 Morningstar Trail,4.62
SH00288,288,Kwinu,Auriflama,9 Mosinee Drive,3.42
SH00289,289,Rhyloo,Nanto-shi,99280 Nobel Road,3.02
SH00290,290,Voonder,Thatta,15679 Clemons Street,3.72
SH00291,291,Dynabox,Zubin Potok,6 Jana Center,3.22
SH00292,292,Teklist,Tiyuguan,96138 Brentwood Plaza,3.72
SH00293,293,Trilia,Sahavato,34739 Superior Street,3.32
SH00294,294,Nlounge,Cuntan,6 Gateway Park,4.92
SH00295,295,Photobean,Kato Pyrgos,1 Summit Junction,3.22
SH00296,296,Edgeclub,Shayuan,0912 Marquette Circle,4.82
SH00297,297,Shufflester,Yonghe,50 Packers Junction,4.92
SH00298,298,Jaloo,Sulak,495 Forest Dale Circle,4.12
SH00299,299,Izio,Okotoks,0627 Monument Way,3.42
SH00300,300,Tekfly,Dili,76 Mockingbird Street,4.12
SH00301,301,Mymm,Zhangshi,719 Loeprich Crossing,3.82
SH00302,302,Miboo,Pau,1 Northport Center,4.72
SH00303,303,Pixonyx,Xinle,923 Cottonwood Way,4.12
SH00304,304,Youfeed,Växjö,11781 Hooker Circle,4.22
SH00305,305,Photobug,Huaidao,49 Mariners Cove Alley,3.02
SH00306,306,Wordtune,Fier,6881 Blackbird Hill,3.92
SH00307,307,Shufflebeat,Novalja,05 Old Gate Alley,4.02
SH00308,308,InnoZ,Mananara,9727 East Junction,3.02
SH00309,309,Yodel,Huaqiao,7 Fremont Crossing,4.02
SH00310,310,Fivebridge,Diriomo,30 Straubel Trail,4.32
SH00311,311,Devify,Wingham,05227 Waxwing Center,4.52
SH00312,312,Tazz,Yangqiao,00308 Farragut Trail,3.12
SH00313,313,Devcast,Krajanjugosari,130 Sachtjen Place,3.42
SH00314,314,Quinu,St. Catharines,21806 Oxford Park,4.42
SH00315,315,Brainbox,Ngoc Hon Doc,11 Lillian Junction,3.22
SH00316,316,Trunyx,Courelas Bravas,08000 American Plaza,3.72
SH00317,317,Photofeed,Dado,581 Vahlen Trail,3.62
SH00318,318,Meemm,Ash Shuqayrah,98 Haas Terrace,4.02
SH00319,319,Skilith,Glugur Krajan,233 Lighthouse Bay Lane,3.42
SH00320,320,Yodo,Fornelos,55 Dixon Road,3.12
SH00321,321,Rhynyx,Baocun,2647 Hanson Terrace,4.22
SH00322,322,Devshare,Oslo,312 Tennyson Way,4.02
SH00323,323,Zoonder,Cavaillon,8 Lotheville Road,4.62
SH00324,324,Nlounge,Verkhnya Rozhanka,47 Loomis Parkway,4.22
SH00325,325,Pixoboo,Taveiro,046 Colorado Circle,3.22
SH00326,326,Myworks,Calheta,47 Fulton Road,3.82
SH00327,327,Aimbu,Marigot,0172 Hauk Alley,4.72
SH00328,328,Topicstorm,Maki,16 Village Point,3.12
SH00329,329,Fliptune,Fushi,3 Lakeland Trail,4.32
SH00330,330,Rooxo,La Foa,11 Dapin Drive,4.52
SH00331,331,Yata,Quwa,15677 Memorial Crossing,4.32
SH00332,332,Wikibox,Pokrovka,073 Dawn Parkway,3.72
SH00333,333,Zoozzy,Daxing,559 Ridgeview Hill,4.72
SH00334,334,Riffwire,Milotice,7268 Hauk Trail,4.02
SH00335,335,Fiveclub,Pjanići,46 Di Loreto Avenue,3.32
SH00336,336,Wikivu,Djambala,593 Ilene Road,3.92
SH00337,337,Aivee,Jongīyeh,9035 Bartillon Junction,3.02
SH00338,338,Tagopia,Jajce,260 Walton Place,3.82
SH00339,339,Jabberstorm,Toshkivka,67 Delaware Parkway,4.72
SH00340,340,Skalith,Ruda Śląska,99366 Birchwood Place,4.72
SH00341,341,Divavu,Fukuroi,0 Katie Point,4.52
SH00342,342,Livetube,Ljusdal,115 Randy Center,4.02
SH00343,343,Realfire,Vicente Guerrero,259 Mallory Junction,4.72
SH00344,344,Digitube,‘Anjarah,4 Melby Alley,4.72
SH00345,345,Cogidoo,Jishigang,03611 Bluestem Plaza,3.42
SH00346,346,Tagchat,Manokwari,602 Browning Hill,4.42
SH00347,347,Brainlounge,Kuantan,44455 Morning Circle,3.22
SH00348,348,Eare,Wojcieszków,01 Ryan Parkway,4.12
SH00349,349,Meemm,Qingquan,78952 Main Pass,4.52
SH00350,350,Viva,El Bagre,9470 Calypso Place,4.92
SH00351,351,Realcube,Sulūk,137 Milwaukee Street,4.12
SH00352,352,Gabtune,Lincuo,3251 Fisk Plaza,4.42
SH00353,353,Twitterworks,Nam Kliang,45092 Scoville Pass,4.32
SH00354,354,Divape,Předklášteří,418 Heath Point,3.32
SH00355,355,Yabox,Santa Cruz,94 Old Gate Hill,3.32
SH00356,356,Cogidoo,Popovi,033 Ilene Crossing,3.22
SH00357,357,Omba,Novomyshastovskaya,99 Di Loreto Park,3.22
SH00358,358,Cogidoo,Bombarral,3 Boyd Road,3.72
SH00359,359,Roombo,El Retiro,38 8th Junction,3.82
SH00360,360,Avamba,Adani,616 Continental Trail,4.22
SH00361,361,Centimia,Foso,945 Burrows Place,3.72
SH00362,362,Eimbee,Lukashin,9 East Point,3.02
SH00363,363,Voomm,Yishui,94 Little Fleur Circle,4.42
SH00364,364,Meeveo,Lutowiska,83960 Manley Plaza,3.32
SH00365,365,Fatz,Bent Jbaïl,2671 Corben Park,4.22
SH00366,366,Jazzy,Krasnokamensk,954 Eliot Trail,4.82
SH00367,367,Yotz,Midland,49917 Cherokee Hill,4.22
SH00368,368,Janyx,Leshukonskoye,14135 Center Court,3.52
SH00369,369,Blogtags,Samir,23 Monterey Road,3.92
SH00370,370,Voomm,Novovarshavka,4562 Anzinger Hill,4.52
SH00371,371,Centimia,Tugusirna,10339 Elmside Street,3.92
SH00372,372,Skiptube,Pasacao,8638 Jackson Center,4.62
SH00373,373,Kayveo,Turi,16 Glacier Hill Plaza,4.52
SH00374,374,Jetpulse,Rive-de-Gier,0041 Drewry Street,4.52
SH00375,375,Skippad,Sozopol,429 Dottie Hill,3.62
SH00376,376,Jabbersphere,Echeng,035 Bartelt Point,4.62
SH00377,377,InnoZ,San Mariano,9 Delladonna Circle,3.72
SH00378,378,Rhyloo,Nakonde,3 Namekagon Road,4.02
SH00379,379,Jatri,Cibitung,82 Mendota Avenue,4.12
SH00380,380,Fivebridge,Mesquite,79933 Mitchell Crossing,3.42
SH00381,381,Blogtag,Kedungtulup,3635 Westerfield Plaza,4.12
SH00382,382,Mita,Ban Chang,539 Ryan Avenue,3.32
SH00383,383,Linkbridge,Cikandang,0507 Scoville Circle,3.22
SH00384,384,Photobug,Orsay,99854 Goodland Pass,4.42
SH00385,385,InnoZ,Lattes,79 Scott Avenue,4.22
SH00386,386,Dynabox,Tianning,80 Dennis Center,4.72
SH00387,387,Dynazzy,Harembo,4 Fallview Drive,4.42
SH00388,388,Mymm,Tāfuna,21923 Nobel Way,3.52
SH00389,389,Babbleopia,Tučepi,300 Vidon Place,4.12
SH00390,390,Devbug,Malabago,89642 Farmco Lane,3.42
SH00391,391,Oyondu,Talhār,3 Randy Place,4.52
SH00392,392,Mita,Caotang,15741 Division Place,4.62
SH00393,393,Rhyzio,Jayaraga Kaler,51 Service Terrace,4.62
SH00394,394,Meembee,Marechal Deodoro,4651 Manitowish Road,3.02
SH00395,395,Quinu,Helmsange,3018 Shoshone Street,3.12
SH00396,396,Npath,Tshaneni,8910 Hayes Hill,3.42
SH00397,397,Mynte,Wielki Kack,5 Coleman Avenue,3.42
SH00398,398,Thoughtblab,Azacualpa,6054 Westerfield Park,4.72
SH00399,399,Babblestorm,Lusambo,380 Sheridan Avenue,4.02
SH00400,400,Innojam,Ganjiang,4 8th Pass,4.72
SH00401,401,Voonix,Eci,481 Clarendon Street,3.72
SH00402,402,Mydo,Qingping,746 Novick Parkway,4.32
SH00403,403,Katz,Kadukaung,50 Porter Parkway,4.42
SH00404,404,Myworks,Bereeda,6144 Talisman Parkway,4.92
SH00405,405,Roomm,Älmhult,2980 Morning Place,4.42
SH00406,406,Muxo,Dutsin Ma,533 Elmside Park,3.42
SH00407,407,Skinte,Xiayang,20 Sutherland Circle,3.32
SH00408,408,Youspan,Demba,47 Schmedeman Road,3.82
SH00409,409,Thoughtworks,Siaton,831 Westport Hill,4.92
SH00410,410,Fivebridge,Almeria,74 Independence Trail,4.12
SH00411,411,Myworks,Berehomet,9180 Longview Park,3.42
SH00412,412,Bluejam,Bolian,29 Melrose Parkway,4.02
